"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
998,United States (Metropolitan Portion),240185545,242723041,245051163,247568092,250097293,252699347,255358770,258055365,260633360,263106151,265421570,267809886,270070665,272468701,274828476,277079532
10180,"Abilene, TX (Metropolitan Statistical Area)",158917,159012,158810,160156,160761,161389,162023,162508,163888,165603,166651,167540,167609,168465,169893,170364
10420,"Akron, OH (Metropolitan Statistical Area)",698108,699533,701139,701811,702498,702433,703423,703300,703361,703124,703115,702477,703433,704355,703358,702221
10500,"Albany, GA (Metropolitan Statistical Area)",157735,156947,156914,156911,156886,157412,157367,157551,157969,157663,157814,157322,155953,155154,153508,152219
10540,"Albany, OR (Metropolitan Statistical Area)",103544,104561,106035,106799,108132,110764,112932,114967,116001,116888,118127,118332,118496,119188,120444,122849
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",831034,836753,844619,850384,854604,860365,863068,866282,869361,871103,873214,875637,878401,879775,880803,881839
10740,"Albuquerque, NM (Metropolitan Statistical Area)*",741932,757716,772128,789237,809551,831252,849641,863383,876448,889639,896818,900781,902911,903658,905174,909906
10780,"Alexandria, LA (Metropolitan Statistical Area)",145102,145416,146017,146973,147930,151142,151506,152442,153164,154136,154426,154588,154828,154861,154662,154789
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",748705,756628,766938,777277,787738,798586,807578,814050,817779,822129,825160,827294,827238,830452,833049,835652
11020,"Altoona, PA (Metropolitan Statistical Area)",128471,127631,127353,127194,126730,127002,127048,127112,127161,127053,127178,126991,126419,126019,125506,124650
11100,"Amarillo, TX (Metropolitan Statistical Area)",230351,232326,235138,237566,240380,242656,244608,246458,249373,252722,256008,257784,258952,260858,261613,263342
11180,"Ames, IA (Metropolitan Statistical Area)",80260,81885,82068,82754,82884,84739,86540,87831,89285,89634,90864,91799,93569,95366,96346,97090
11260,"Anchorage, AK (Metropolitan Statistical Area)",326081,332582,337730,345245,350903,358718,360194,365633,374562,383181,388228,392318,397066,398625,399432,402557
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",328749,332763,336154,339422,342234,344018,345310,341595,343520,345568,349071,351299,354573,358980,360847,364709
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",111266,111625,112705,113462,114477,115388,116211,117274,118363,118468,117736,117208,116475,115837,115285,114611
11540,"Appleton, WI (Metropolitan Statistical Area)",205676,208747,211350,213592,215925,218441,220368,222402,224632,225937,227502,228669,229935,231525,233056,234079
11700,"Asheville, NC (Metropolitan Statistical Area)",374904,379818,385178,390713,396408,404546,411842,417457,422014,425461,428403,431888,437020,441258,446138,452319
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",168973,170838,173847,178106,178974,183171,186781,189948,192021,193450,194634,196370,197793,198787,202822,205290
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5303929,5373558,5452145,5517230,5605765,5699050,5789700
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",255737,259263,263285,267723,270332,271759,272303,273014,274049,274757,275017,275604,275784,274715,273035,270991
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",116819,118392,120071,122274,126133,129247,131934,134524,138566,140804,144123,148289,151411,154277,156767,158991
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",512626,516818,520120,526789,531294,538643,545524,552627,558096,566569,570925,576549,579840,583462,590047,594919
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727656,1780819,1834319,1882856,1941389,1998104,2056405
12540,"Bakersfield, CA (Metropolitan Statistical Area)",676574,694059,714272,736296,760726,784511,803281,818327,830137,841676,849484,855808,864454,872138,879497,884788
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2715705,2735170,2755622,2771765,2784254,2793837,2798886
12620,"Bangor, ME (Metropolitan Statistical Area)",146110,147298,148759,148814,149726,151446,152232,153372,153770,153872,153814,153589,153518,153500,152478,151806
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",224087,225421,226011,224264,221995,220037,218380,217066,215994,215908,215372,214915,214844,214858,214621,214276
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",710731,715379,722274,729774,735507,771940,779796,787767,795897,804311,808397,813756,819507,825155,829741,835175
12980,"Battle Creek, MI (Metropolitan Statistical Area)",138158,138580,138962,139443,138946,138291,137582,137313,136301,136025,135245,134777,134869,134976,134447,134386
13020,"Bay City, MI (Metropolitan Statistical Area)",109836,109861,109559,109453,109165,108711,108132,108320,107913,107688,107498,107091,106910,106232,105557,104747
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",397731,397949,398146,398998,400115,393468,396665,399641,401592,403704,405226,403668,405225,405407,408261,409968
13220,"Beckley, WV (Metropolitan Statistical Area)",125318,125672,125519,125145,124570,124378,124566,124550,124816,124900,125203,125140,124414,123480,122255,120924
13380,"Bellingham, WA (Metropolitan Statistical Area)",171172,174904,177851,181756,185450,188926,192837,196708,199865,201586,203482,205008,206348,208325,212164,216800
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",120526,125247,129094,133756,140567,148149,152633,156820,157345,157839,159775,161765,165859,170193,174942,181307
13740,"Billings, MT (Metropolitan Statistical Area)",141458,142891,144443,146238,148558,150471,152455,155110,157395,159358,160768,162853,165155,166739,168164,169728
13780,"Binghamton, NY (Metropolitan Statistical Area)",252580,253430,252932,252605,252088,252441,252442,252527,252171,251469,250404,249219,248498,247462,245879,244094
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1059082,1062966,1070886,1078204,1086318,1098818,1107256,1117101,1125271,1128937,1130857,1133917,1138578,1141775,1144857,1147417
13900,"Bismarck, ND (Metropolitan Statistical Area)",101289,102340,103201,104211,105942,107861,109742,111282,113143,115277,117384,120254,124035,126754,129717,131635
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)*",167434,167498,168270,169018,170990,173039,174908,176348,177535,178523,178893,179560,180875,181429,181701,182876
14010,"Bloomington, IL (Metropolitan Statistical Area)",169505,172555,174481,175767,177015,179717,181965,183558,185265,186445,187336,189057,191162,190086,188933,188644
14020,"Bloomington, IN (Metropolitan Statistical Area)",143650,144707,146835,148549,150096,152548,154352,156164,157840,160140,161712,162673,163110,164466,165066,166336
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",82592,82838,83240,83511,83718,83996,84303,84735,85385,85671,85289,85342,85463,85366,84944,84763
14260,"Boise City, ID (Metropolitan Statistical Area)",486078,499994,512491,525975,546980,570583,590330,603218,611341,618025,627610,637527,649653,664024,675777,691423
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4565907,4608410,4652011,4696293,4734711,4766755,4794447
